----Type 1-----
 id : 38 , arrvial time : 0, process time: 3
 id : 464 , arrvial time : 475, process time: 1
 id : 659 , arrvial time : 476, process time: 5
 id : 687 , arrvial time : 476, process time: 2
 id : 595 , arrvial time : 479, process time: 1
 id : 225 , arrvial time : 479, process time: 1
 id : 234 , arrvial time : 481, process time: 5
 id : 532 , arrvial time : 483, process time: 4
 id : 87 , arrvial time : 485, process time: 5
 id : 358 , arrvial time : 489, process time: 5
 id : 840 , arrvial time : 492, process time: 3
 id : 484 , arrvial time : 496, process time: 2
 id : 991 , arrvial time : 498, process time: 5
 id : 460 , arrvial time : 498, process time: 2
 id : 496 , arrvial time : 501, process time: 1
 id : 590 , arrvial time : 505, process time: 1
 id : 287 , arrvial time : 506, process time: 3
 id : 624 , arrvial time : 506, process time: 5
 id : 452 , arrvial time : 506, process time: 4
 id : 162 , arrvial time : 516, process time: 3
 id : 896 , arrvial time : 518, process time: 4
 id : 974 , arrvial time : 520, process time: 3
 id : 264 , arrvial time : 522, process time: 2
 id : 63 , arrvial time : 522, process time: 4
 id : 495 , arrvial time : 525, process time: 2
 id : 877 , arrvial time : 526, process time: 5
 id : 147 , arrvial time : 533, process time: 2
 id : 425 , arrvial time : 543, process time: 5
 id : 668 , arrvial time : 544, process time: 1
 id : 605 , arrvial time : 544, process time: 5
 id : 341 , arrvial time : 548, process time: 1
 id : 820 , arrvial time : 559, process time: 4
 id : 701 , arrvial time : 561, process time: 4
 id : 506 , arrvial time : 561, process time: 2
 id : 432 , arrvial time : 561, process time: 1
 id : 333 , arrvial time : 566, process time: 3
 id : 457 , arrvial time : 575, process time: 4
 id : 473 , arrvial time : 575, process time: 4
 id : 283 , arrvial time : 594, process time: 1
 id : 631 , arrvial time : 599, process time: 5
 id : 841 , arrvial time : 602, process time: 2
 id : 155 , arrvial time : 619, process time: 1
 id : 222 , arrvial time : 620, process time: 4
 id : 623 , arrvial time : 622, process time: 3
 id : 2 , arrvial time : 622, process time: 1
 id : 391 , arrvial time : 623, process time: 2
 id : 971 , arrvial time : 626, process time: 5
 id : 593 , arrvial time : 628, process time: 3
 id : 42 , arrvial time : 628, process time: 3
 id : 5 , arrvial time : 634, process time: 3
 id : 586 , arrvial time : 637, process time: 5
 id : 652 , arrvial time : 639, process time: 1
 id : 769 , arrvial time : 641, process time: 4
 id : 744 , arrvial time : 644, process time: 5
 id : 770 , arrvial time : 648, process time: 4
 id : 198 , arrvial time : 649, process time: 2
 id : 576 , arrvial time : 651, process time: 1
 id : 384 , arrvial time : 660, process time: 5
 id : 444 , arrvial time : 671, process time: 5
 id : 18 , arrvial time : 671, process time: 3
 id : 377 , arrvial time : 671, process time: 5
 id : 103 , arrvial time : 673, process time: 2
 id : 97 , arrvial time : 675, process time: 1
 id : 439 , arrvial time : 678, process time: 2
 id : 431 , arrvial time : 679, process time: 5
 id : 833 , arrvial time : 682, process time: 2
 id : 352 , arrvial time : 683, process time: 3
 id : 321 , arrvial time : 685, process time: 1
 id : 81 , arrvial time : 690, process time: 5
 id : 919 , arrvial time : 693, process time: 1
 id : 635 , arrvial time : 702, process time: 4
 id : 688 , arrvial time : 706, process time: 4
 id : 592 , arrvial time : 710, process time: 5
 id : 43 , arrvial time : 714, process time: 1
 id : 58 , arrvial time : 720, process time: 5
 id : 6 , arrvial time : 721, process time: 3
 id : 948 , arrvial time : 722, process time: 5
 id : 930 , arrvial time : 722, process time: 2
 id : 180 , arrvial time : 723, process time: 4
 id : 158 , arrvial time : 723, process time: 3
 id : 340 , arrvial time : 725, process time: 4
 id : 704 , arrvial time : 732, process time: 2
 id : 504 , arrvial time : 734, process time: 4
 id : 739 , arrvial time : 738, process time: 4
 id : 860 , arrvial time : 742, process time: 3
 id : 879 , arrvial time : 744, process time: 2
 id : 587 , arrvial time : 758, process time: 3
 id : 124 , arrvial time : 760, process time: 3
 id : 206 , arrvial time : 761, process time: 5
 id : 672 , arrvial time : 773, process time: 3
 id : 322 , arrvial time : 774, process time: 5
 id : 689 , arrvial time : 774, process time: 4
 id : 745 , arrvial time : 774, process time: 4
 id : 983 , arrvial time : 774, process time: 2
 id : 516 , arrvial time : 775, process time: 5
 id : 839 , arrvial time : 777, process time: 3
 id : 806 , arrvial time : 780, process time: 4
 id : 693 , arrvial time : 783, process time: 1
 id : 537 , arrvial time : 783, process time: 3
 id : 64 , arrvial time : 791, process time: 2
 id : 880 , arrvial time : 793, process time: 3
 id : 92 , arrvial time : 796, process time: 3
 id : 54 , arrvial time : 800, process time: 3
 id : 958 , arrvial time : 803, process time: 2
 id : 719 , arrvial time : 805, process time: 2
 id : 159 , arrvial time : 806, process time: 4
 id : 651 , arrvial time : 810, process time: 3
 id : 34 , arrvial time : 812, process time: 2
 id : 236 , arrvial time : 812, process time: 3
 id : 419 , arrvial time : 815, process time: 4
 id : 728 , arrvial time : 816, process time: 4
 id : 629 , arrvial time : 817, process time: 3
 id : 488 , arrvial time : 822, process time: 4
 id : 890 , arrvial time : 829, process time: 4
 id : 837 , arrvial time : 831, process time: 3
 id : 998 , arrvial time : 836, process time: 5
 id : 525 , arrvial time : 837, process time: 3
 id : 825 , arrvial time : 837, process time: 2
 id : 107 , arrvial time : 837, process time: 5
 id : 412 , arrvial time : 837, process time: 2
 id : 387 , arrvial time : 838, process time: 2
 id : 618 , arrvial time : 840, process time: 2
 id : 415 , arrvial time : 842, process time: 1
 id : 936 , arrvial time : 842, process time: 4
 id : 300 , arrvial time : 843, process time: 4
 id : 868 , arrvial time : 852, process time: 5
 id : 862 , arrvial time : 855, process time: 1
 id : 430 , arrvial time : 859, process time: 3
 id : 331 , arrvial time : 864, process time: 3
 id : 8 , arrvial time : 866, process time: 5
 id : 149 , arrvial time : 867, process time: 4
 id : 621 , arrvial time : 875, process time: 4
 id : 443 , arrvial time : 877, process time: 3
 id : 617 , arrvial time : 877, process time: 5
 id : 243 , arrvial time : 887, process time: 3
 id : 698 , arrvial time : 891, process time: 5
 id : 891 , arrvial time : 903, process time: 4
 id : 140 , arrvial time : 907, process time: 4
 id : 29 , arrvial time : 910, process time: 4
 id : 580 , arrvial time : 911, process time: 5
 id : 563 , arrvial time : 913, process time: 2
 id : 784 , arrvial time : 914, process time: 2
 id : 682 , arrvial time : 920, process time: 2
 id : 782 , arrvial time : 921, process time: 5
 id : 569 , arrvial time : 925, process time: 4
 id : 620 , arrvial time : 928, process time: 4
 id : 551 , arrvial time : 929, process time: 4
 id : 342 , arrvial time : 930, process time: 5
 id : 335 , arrvial time : 932, process time: 4
 id : 622 , arrvial time : 933, process time: 3
 id : 364 , arrvial time : 936, process time: 5
 id : 819 , arrvial time : 936, process time: 5
 id : 471 , arrvial time : 939, process time: 4
 id : 713 , arrvial time : 940, process time: 1
 id : 235 , arrvial time : 944, process time: 5
 id : 77 , arrvial time : 949, process time: 5
 id : 810 , arrvial time : 950, process time: 2
 id : 510 , arrvial time : 961, process time: 3
 id : 513 , arrvial time : 964, process time: 5
 id : 250 , arrvial time : 969, process time: 5
 id : 399 , arrvial time : 969, process time: 5
 id : 311 , arrvial time : 983, process time: 3
 id : 252 , arrvial time : 986, process time: 3
 id : 556 , arrvial time : 989, process time: 5
 id : 729 , arrvial time : 998, process time: 2
 id : 649 , arrvial time : 999, process time: 1

----Type 2----:
 id : 15 , arrvial time : 1, process time: 4
 id : 453 , arrvial time : 8, process time: 4
 id : 277 , arrvial time : 8, process time: 1
 id : 686 , arrvial time : 9, process time: 2
 id : 541 , arrvial time : 10, process time: 5
 id : 987 , arrvial time : 12, process time: 1
 id : 792 , arrvial time : 12, process time: 4
 id : 121 , arrvial time : 18, process time: 4
 id : 228 , arrvial time : 19, process time: 5
 id : 269 , arrvial time : 25, process time: 3
 id : 470 , arrvial time : 31, process time: 3
 id : 9 , arrvial time : 31, process time: 4
 id : 313 , arrvial time : 35, process time: 3
 id : 242 , arrvial time : 38, process time: 5
 id : 933 , arrvial time : 40, process time: 4
 id : 903 , arrvial time : 43, process time: 4
 id : 102 , arrvial time : 43, process time: 3
 id : 691 , arrvial time : 44, process time: 1
 id : 797 , arrvial time : 45, process time: 2
 id : 732 , arrvial time : 48, process time: 2
 id : 924 , arrvial time : 55, process time: 4
 id : 654 , arrvial time : 63, process time: 5
 id : 11 , arrvial time : 64, process time: 5
 id : 136 , arrvial time : 64, process time: 2
 id : 855 , arrvial time : 70, process time: 3
 id : 31 , arrvial time : 73, process time: 2
 id : 290 , arrvial time : 73, process time: 4
 id : 564 , arrvial time : 76, process time: 2
 id : 785 , arrvial time : 84, process time: 2
 id : 196 , arrvial time : 92, process time: 3
 id : 101 , arrvial time : 92, process time: 2
 id : 27 , arrvial time : 93, process time: 2
 id : 829 , arrvial time : 94, process time: 3
 id : 625 , arrvial time : 96, process time: 2
 id : 62 , arrvial time : 97, process time: 1
 id : 545 , arrvial time : 103, process time: 4
 id : 714 , arrvial time : 104, process time: 4
 id : 821 , arrvial time : 116, process time: 5
 id : 500 , arrvial time : 118, process time: 3
 id : 628 , arrvial time : 120, process time: 3
 id : 14 , arrvial time : 124, process time: 4
 id : 367 , arrvial time : 127, process time: 2
 id : 69 , arrvial time : 130, process time: 3
 id : 456 , arrvial time : 134, process time: 4
 id : 844 , arrvial time : 135, process time: 3
 id : 902 , arrvial time : 135, process time: 3
 id : 883 , arrvial time : 142, process time: 1
 id : 637 , arrvial time : 144, process time: 2
 id : 298 , arrvial time : 149, process time: 5
 id : 941 , arrvial time : 151, process time: 3
 id : 455 , arrvial time : 152, process time: 1
 id : 433 , arrvial time : 153, process time: 1
 id : 865 , arrvial time : 155, process time: 4
 id : 999 , arrvial time : 158, process time: 4
 id : 957 , arrvial time : 160, process time: 3
 id : 381 , arrvial time : 168, process time: 2
 id : 109 , arrvial time : 173, process time: 4
 id : 680 , arrvial time : 174, process time: 5
 id : 428 , arrvial time : 176, process time: 4
 id : 247 , arrvial time : 180, process time: 5
 id : 489 , arrvial time : 183, process time: 3
 id : 45 , arrvial time : 193, process time: 2
 id : 888 , arrvial time : 194, process time: 1
 id : 800 , arrvial time : 197, process time: 3
 id : 935 , arrvial time : 197, process time: 4
 id : 354 , arrvial time : 201, process time: 4
 id : 400 , arrvial time : 201, process time: 3
 id : 345 , arrvial time : 203, process time: 2
 id : 210 , arrvial time : 206, process time: 5
 id : 284 , arrvial time : 206, process time: 3
 id : 790 , arrvial time : 210, process time: 1
 id : 511 , arrvial time : 211, process time: 2
 id : 466 , arrvial time : 214, process time: 3
 id : 327 , arrvial time : 218, process time: 3
 id : 450 , arrvial time : 227, process time: 5
 id : 125 , arrvial time : 230, process time: 3
 id : 733 , arrvial time : 232, process time: 5
 id : 339 , arrvial time : 236, process time: 4
 id : 946 , arrvial time : 238, process time: 1
 id : 226 , arrvial time : 243, process time: 5
 id : 530 , arrvial time : 243, process time: 2
 id : 610 , arrvial time : 244, process time: 1
 id : 655 , arrvial time : 246, process time: 4
 id : 619 , arrvial time : 247, process time: 2
 id : 95 , arrvial time : 248, process time: 4
 id : 409 , arrvial time : 251, process time: 5
 id : 679 , arrvial time : 256, process time: 3
 id : 596 , arrvial time : 262, process time: 2
 id : 50 , arrvial time : 265, process time: 2
 id : 976 , arrvial time : 271, process time: 3
 id : 232 , arrvial time : 272, process time: 1
 id : 207 , arrvial time : 274, process time: 4
 id : 735 , arrvial time : 277, process time: 3
 id : 660 , arrvial time : 281, process time: 5
 id : 276 , arrvial time : 281, process time: 3
 id : 177 , arrvial time : 292, process time: 1
 id : 424 , arrvial time : 293, process time: 1
 id : 915 , arrvial time : 295, process time: 4
 id : 83 , arrvial time : 296, process time: 3
 id : 898 , arrvial time : 297, process time: 4
 id : 84 , arrvial time : 305, process time: 1
 id : 436 , arrvial time : 314, process time: 5
 id : 737 , arrvial time : 315, process time: 1
 id : 664 , arrvial time : 316, process time: 4
 id : 241 , arrvial time : 320, process time: 4
 id : 257 , arrvial time : 322, process time: 4
 id : 24 , arrvial time : 323, process time: 1
 id : 542 , arrvial time : 327, process time: 3
 id : 762 , arrvial time : 328, process time: 4
 id : 239 , arrvial time : 329, process time: 2
 id : 885 , arrvial time : 336, process time: 5
 id : 115 , arrvial time : 341, process time: 1
 id : 575 , arrvial time : 342, process time: 3
 id : 132 , arrvial time : 342, process time: 1
 id : 878 , arrvial time : 344, process time: 2
 id : 694 , arrvial time : 347, process time: 5
 id : 608 , arrvial time : 352, process time: 2
 id : 379 , arrvial time : 353, process time: 2
 id : 214 , arrvial time : 353, process time: 3
 id : 589 , arrvial time : 361, process time: 5
 id : 499 , arrvial time : 363, process time: 3
 id : 94 , arrvial time : 365, process time: 5
 id : 835 , arrvial time : 368, process time: 1
 id : 521 , arrvial time : 375, process time: 5
 id : 940 , arrvial time : 375, process time: 2
 id : 494 , arrvial time : 376, process time: 1
 id : 560 , arrvial time : 383, process time: 5
 id : 373 , arrvial time : 384, process time: 2
 id : 272 , arrvial time : 385, process time: 5
 id : 561 , arrvial time : 389, process time: 5
 id : 117 , arrvial time : 390, process time: 2
 id : 515 , arrvial time : 390, process time: 3
 id : 949 , arrvial time : 396, process time: 4
 id : 267 , arrvial time : 402, process time: 5
 id : 20 , arrvial time : 402, process time: 2
 id : 600 , arrvial time : 403, process time: 5
 id : 10 , arrvial time : 404, process time: 2
 id : 312 , arrvial time : 404, process time: 1
 id : 173 , arrvial time : 406, process time: 2
 id : 295 , arrvial time : 412, process time: 2
 id : 396 , arrvial time : 414, process time: 4
 id : 540 , arrvial time : 415, process time: 2
 id : 583 , arrvial time : 416, process time: 1
 id : 68 , arrvial time : 417, process time: 4
 id : 183 , arrvial time : 420, process time: 4
 id : 774 , arrvial time : 421, process time: 4
 id : 36 , arrvial time : 421, process time: 5
 id : 895 , arrvial time : 423, process time: 3
 id : 19 , arrvial time : 424, process time: 1
 id : 265 , arrvial time : 426, process time: 4
 id : 641 , arrvial time : 428, process time: 1
 id : 221 , arrvial time : 430, process time: 2
 id : 616 , arrvial time : 430, process time: 5
 id : 822 , arrvial time : 434, process time: 1
 id : 229 , arrvial time : 434, process time: 1
 id : 122 , arrvial time : 440, process time: 2
 id : 137 , arrvial time : 442, process time: 4
 id : 869 , arrvial time : 442, process time: 1
 id : 302 , arrvial time : 448, process time: 5
 id : 979 , arrvial time : 452, process time: 3
 id : 114 , arrvial time : 454, process time: 4
 id : 857 , arrvial time : 465, process time: 1
 id : 336 , arrvial time : 468, process time: 5
 id : 626 , arrvial time : 471, process time: 3
 id : 535 , arrvial time : 474, process time: 3
 id : 923 , arrvial time : 475, process time: 1
 id : 997 , arrvial time : 475, process time: 1
 id : 509 , arrvial time : 476, process time: 3
 id : 481 , arrvial time : 476, process time: 5
 id : 811 , arrvial time : 477, process time: 5
 id : 285 , arrvial time : 481, process time: 3
 id : 894 , arrvial time : 481, process time: 4
 id : 962 , arrvial time : 481, process time: 4
 id : 359 , arrvial time : 488, process time: 1
 id : 262 , arrvial time : 490, process time: 2
 id : 889 , arrvial time : 493, process time: 3
 id : 216 , arrvial time : 494, process time: 2
 id : 866 , arrvial time : 500, process time: 1
 id : 609 , arrvial time : 500, process time: 2
 id : 816 , arrvial time : 503, process time: 3
 id : 765 , arrvial time : 504, process time: 5
 id : 153 , arrvial time : 504, process time: 3
 id : 485 , arrvial time : 504, process time: 3
 id : 448 , arrvial time : 507, process time: 4
 id : 539 , arrvial time : 511, process time: 1
 id : 215 , arrvial time : 511, process time: 2
 id : 52 , arrvial time : 513, process time: 2
 id : 169 , arrvial time : 520, process time: 3
 id : 434 , arrvial time : 521, process time: 2
 id : 886 , arrvial time : 525, process time: 1
 id : 789 , arrvial time : 527, process time: 5
 id : 75 , arrvial time : 527, process time: 4
 id : 350 , arrvial time : 529, process time: 4
 id : 348 , arrvial time : 532, process time: 1
 id : 118 , arrvial time : 534, process time: 1
 id : 397 , arrvial time : 534, process time: 4
 id : 764 , arrvial time : 539, process time: 1
 id : 106 , arrvial time : 542, process time: 5
 id : 950 , arrvial time : 543, process time: 3
 id : 172 , arrvial time : 546, process time: 5
 id : 389 , arrvial time : 550, process time: 1
 id : 186 , arrvial time : 550, process time: 3
 id : 706 , arrvial time : 552, process time: 3
 id : 301 , arrvial time : 553, process time: 1
 id : 371 , arrvial time : 553, process time: 4
 id : 939 , arrvial time : 553, process time: 3
 id : 28 , arrvial time : 553, process time: 4
 id : 209 , arrvial time : 560, process time: 1
 id : 826 , arrvial time : 563, process time: 5
 id : 996 , arrvial time : 569, process time: 1
 id : 48 , arrvial time : 573, process time: 3
 id : 676 , arrvial time : 573, process time: 5
 id : 131 , arrvial time : 580, process time: 3
 id : 871 , arrvial time : 584, process time: 2
 id : 598 , arrvial time : 584, process time: 1
 id : 684 , arrvial time : 586, process time: 1
 id : 772 , arrvial time : 590, process time: 3
 id : 393 , arrvial time : 608, process time: 1
 id : 442 , arrvial time : 610, process time: 3
 id : 116 , arrvial time : 611, process time: 4
 id : 501 , arrvial time : 623, process time: 2
 id : 307 , arrvial time : 633, process time: 4
 id : 498 , arrvial time : 634, process time: 4
 id : 219 , arrvial time : 635, process time: 2
 id : 824 , arrvial time : 640, process time: 2
 id : 574 , arrvial time : 641, process time: 5
 id : 725 , arrvial time : 645, process time: 1
 id : 565 , arrvial time : 646, process time: 3
 id : 559 , arrvial time : 650, process time: 3
 id : 175 , arrvial time : 652, process time: 5
 id : 929 , arrvial time : 653, process time: 4
 id : 17 , arrvial time : 653, process time: 4
 id : 967 , arrvial time : 655, process time: 5
 id : 316 , arrvial time : 657, process time: 3
 id : 220 , arrvial time : 660, process time: 1
 id : 674 , arrvial time : 663, process time: 3
 id : 942 , arrvial time : 664, process time: 5
 id : 531 , arrvial time : 668, process time: 1
 id : 56 , arrvial time : 669, process time: 4
 id : 184 , arrvial time : 672, process time: 3
 id : 280 , arrvial time : 678, process time: 5
 id : 695 , arrvial time : 679, process time: 1
 id : 588 , arrvial time : 682, process time: 5
 id : 678 , arrvial time : 682, process time: 1
 id : 897 , arrvial time : 682, process time: 5
 id : 249 , arrvial time : 686, process time: 5
 id : 70 , arrvial time : 687, process time: 5
 id : 378 , arrvial time : 690, process time: 4
 id : 662 , arrvial time : 690, process time: 5
 id : 715 , arrvial time : 694, process time: 4
 id : 139 , arrvial time : 705, process time: 1
 id : 692 , arrvial time : 707, process time: 1
 id : 275 , arrvial time : 711, process time: 1
 id : 743 , arrvial time : 713, process time: 1
 id : 270 , arrvial time : 717, process time: 1
 id : 111 , arrvial time : 719, process time: 5
 id : 85 , arrvial time : 722, process time: 4
 id : 528 , arrvial time : 723, process time: 4
 id : 319 , arrvial time : 729, process time: 5
 id : 82 , arrvial time : 732, process time: 3
 id : 366 , arrvial time : 733, process time: 4
 id : 446 , arrvial time : 733, process time: 3
 id : 843 , arrvial time : 735, process time: 4
 id : 143 , arrvial time : 741, process time: 5
 id : 703 , arrvial time : 742, process time: 4
 id : 577 , arrvial time : 742, process time: 2
 id : 817 , arrvial time : 748, process time: 2
 id : 547 , arrvial time : 750, process time: 5
 id : 647 , arrvial time : 752, process time: 2
 id : 208 , arrvial time : 752, process time: 1
 id : 437 , arrvial time : 756, process time: 2
 id : 392 , arrvial time : 757, process time: 5
 id : 493 , arrvial time : 758, process time: 2
 id : 722 , arrvial time : 760, process time: 1
 id : 978 , arrvial time : 761, process time: 5
 id : 799 , arrvial time : 764, process time: 2
 id : 944 , arrvial time : 766, process time: 2
 id : 836 , arrvial time : 766, process time: 4
 id : 317 , arrvial time : 766, process time: 1
 id : 141 , arrvial time : 768, process time: 1
 id : 413 , arrvial time : 777, process time: 3
 id : 578 , arrvial time : 784, process time: 1
 id : 420 , arrvial time : 786, process time: 5
 id : 548 , arrvial time : 786, process time: 5
 id : 777 , arrvial time : 793, process time: 2
 id : 661 , arrvial time : 797, process time: 2
 id : 49 , arrvial time : 797, process time: 1
 id : 35 , arrvial time : 806, process time: 3
 id : 718 , arrvial time : 806, process time: 2
 id : 51 , arrvial time : 807, process time: 3
 id : 876 , arrvial time : 809, process time: 4
 id : 199 , arrvial time : 813, process time: 2
 id : 917 , arrvial time : 816, process time: 1
 id : 529 , arrvial time : 817, process time: 3
 id : 253 , arrvial time : 841, process time: 2
 id : 190 , arrvial time : 842, process time: 2
 id : 954 , arrvial time : 845, process time: 1
 id : 231 , arrvial time : 845, process time: 1
 id : 22 , arrvial time : 845, process time: 3
 id : 968 , arrvial time : 848, process time: 3
 id : 154 , arrvial time : 849, process time: 1
 id : 611 , arrvial time : 855, process time: 3
 id : 834 , arrvial time : 860, process time: 2
 id : 627 , arrvial time : 868, process time: 4
 id : 166 , arrvial time : 869, process time: 2
 id : 72 , arrvial time : 876, process time: 1
 id : 134 , arrvial time : 879, process time: 2
 id : 584 , arrvial time : 884, process time: 3
 id : 465 , arrvial time : 892, process time: 5
 id : 786 , arrvial time : 897, process time: 3
 id : 567 , arrvial time : 903, process time: 2
 id : 161 , arrvial time : 903, process time: 4
 id : 599 , arrvial time : 905, process time: 4
